;company_name;grant;Направление;revenue_2020 (тыс руб);revenue_2021 (тыс руб)
0;"РТК РАДИОЛОГИЯ""";70482009;Разработка;883 816;614 733
1;"ИНЖЕНЕРНО-ТЕХНИЧЕСКИЙ ЦЕНТР ""ДЖЭТ""";33899845;Разработка;246 080;1 096 019
2;"СМАРТ РИТЕЙЛ""";90082728;Разработка;12566;11339
3;"ЭТТОН-ЦЕНТР""";28764000;Разработка;103 875;82 848
4;"БФГ ГРУПП""";50140984;Разработка;35 495;113 991
5;"Т-СОФТ""";59025865;Разработка;0;0
6;"МЕГАПЬЮТЕР ИНТЕЛЛИДЖЕНС""";93008779;Разработка;137 238;152 829
7;"ЦИТРОС""";54435876;Разработка;0;80623
8;"АЙ-СИС ЛАБС""";31249187;Разработка;101 095;127 063
9;"КАРБОН СОФТ""";40000000;Разработка;78 550;99 990
10;"НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ФАРВАТЕР""";49835520;Разработка;0;0
11;"ЦРТ-ИННОВАЦИИ""";24056039;Разработка;0;0
12;"КИБЕРПРОТЕКТ""";20811118;Разработка;422 505;603 137
13;"КОРКЛАСС""";94535748;Разработка;506 454;471 526
14;"НАУ-СЕРВИС""";247500893;Разработка;527 166;538 839
15;"АКСЕЛОТ-Л""";58382471;Разработка;680 288;631 052
16;БИПЛАН;37474137;Разработка;20 898;60 807
17;"КВИРКО""";22038415;Разработка;77 466;135 731
18;"РОБИН""";75559791;Разработка;0;0
19;"АДВЕНТУМ КОНСАЛТИНГ""";20023546;Разработка;1 655 541;2 451 532
20;"СИСТЕМА ТЕЗИС""";29514488;Разработка;141 207;190 527
21;"ПОКОЛЕНИЕ ДУМАЮЩИХ""";107846382;Разработка;50 291;127 733
22;"ФОРМАКС""";99068646;Разработка;0;0
23;"ОБЪЕДИНЕНИЕ КОГНИТИВНЫХ АССОЦИАТИВНЫХ СИСТЕМ""";40056790;Разработка;0;0
24;"ПОДБОР КАНДИДАТОВ""";30817300;;;
25;"ЭНСИ""";97166813;;;
26;"ЛИМАН-ТРЕЙД""";33064198;;;
